delivery_partner_key,delivery_partner_id,partner_name,city_key,vehicle_type,joined_date,rating
1,DP-3dceef9c-fe46-5a7e-bca6-7eebf341db5d,Aryan Maharaj,22,Motorcycle,2023-09-10,4.44
2,DP-f0180883-fa92-5ffb-bff2-ec40bbaf15c3,Udant Dewan,7,Motorcycle,2023-02-13,4.5
3,DP-06b9e6b9-ce5f-5407-9980-aeee4ea7232b,Gagan Sami,30,Motorcycle,2025-03-11,3.89
4,DP-44d4f3c4-f6e7-5d7d-8cc4-66e35344f322,Ayushman Chander,17,Motorcycle,2025-05-21,4.67
5,DP-a3343ac0-de6e-52c1-a846-5daa20b2c30c,Viraj Tiwari,2,Electric Scooter,2025-09-12,4.7
6,DP-a313f741-5203-5e0a-8b4d-b15fffc8c5cf,Rushil Saini,46,Electric Scooter,2026-04-27,4.02
7,DP-224a8a51-51a9-58eb-8aec-897fc8a4e363,Saumya Mall,21,Motorcycle,2024-09-26,4.13
8,DP-07170fbf-568b-5ca0-a3ee-209096299c29,Nathaniel Sami,23,Motorcycle,2025-11-23,4.26
9,DP-de9731ea-a126-50f3-9aad-5cc8085a589a,Arunima Dugal,2,Motorcycle,2025-07-02,4.28
10,DP-8436dcc0-8853-5502-b7e1-f5edbcb06fb7,Gayathri Chaudry,8,Motorcycle,2023-12-20,4.55
11,DP-91a37879-bd91-52b7-9677-7c9e10a6128d,Lajita Chatterjee,6,Electric Scooter,2025-12-14,4.13
12,DP-edc77c18-3f03-51c5-85a2-f94cf4559d1d,Hemangini Lalla,39,Motorcycle,2023-03-10,4.08
13,DP-6b923a18-bcd6-5789-aa95-bf96758ef567,Tripti Yadav,14,Bicycle,2025-02-03,5.0
14,DP-45c805e1-34f1-5db7-a32b-d30b8f592d10,Kritika Brar,26,Motorcycle,2026-04-14,4.75
15,DP-3e7f6356-8ef1-56a4-ad42-c1308f8246b5,Janaki Handa,7,Motorcycle,2025-04-20,3.82
16,DP-215a0996-555e-56e0-ae5d-3867d88ab73a,Chakradev Kari,3,Motorcycle,2026-04-10,4.95
17,DP-9fb5960e-06c5-56ee-85d9-bf5efe5e14aa,Fariq Kaul,10,Electric Scooter,2023-03-13,4.26
18,DP-a49ecf8e-39bc-5ecc-a585-9cc2369d275f,Lajita Mall,1,Motorcycle,2024-11-10,4.13
19,DP-19297a97-de33-591e-bc93-b6fc40bf3405,Janya Gaba,27,Electric Scooter,2025-09-23,4.48
20,DP-0a9befe6-b56f-565e-973b-d13d1769350f,Isha Kadakia,14,Motorcycle,2025-03-30,4.24
21,DP-ece51541-0ec9-53dc-a531-dd8fc5511fc6,Ekbal Garg,21,Motorcycle,2026-01-28,4.68
22,DP-7c6c82ba-1594-5cd3-b6ce-32888d28fad8,Nihal Shere,6,Motorcycle,2024-08-13,4.44
23,DP-db28f56a-6873-5ccf-9eca-fd54e4826518,Anamika Kanda,46,Motorcycle,2025-05-21,4.45
24,DP-446c4037-ce55-505c-b730-3fccc4678a2e,Daksh Karnik,35,Motorcycle,2024-06-19,4.66
25,DP-43152065-fe14-581c-aae2-cd8e1d6bb886,Diya Rattan,23,Motorcycle,2026-01-17,4.45
26,DP-ac6c9f50-bb2b-55b0-8dd9-316c130b8147,Dominic Kakar,3,Motorcycle,2023-06-02,4.23
27,DP-08926a68-ba3b-5e31-a7fd-d3da72adb45e,Simon Tata,8,Motorcycle,2023-11-21,4.77
28,DP-3a006a90-561f-50d7-b4be-4c61e283e975,Tara Dhar,1,Motorcycle,2023-05-04,4.66
29,DP-8ea19e64-0aea-5b7f-b9cf-07fff0e0a6c2,Liam Koshy,2,Motorcycle,2025-06-14,4.52
30,DP-48e96c2c-602a-50ba-b38e-3219ad0ccb72,Priya Rastogi,16,Electric Scooter,2023-10-24,4.83
31,DP-178b7db6-44e6-52d3-b7be-b1432c277992,Theodore Devi,20,Motorcycle,2024-02-09,4.46
